,id,participant,song
1985,1985,50,1
8330,8330,50,1
4915,4915,50,1
3967,3967,50,1
11281,11281,50,1
10786,10786,50,1
9339,9339,50,1
8310,8310,50,1
11248,11248,50,1
10816,10816,50,1
134,134,50,1
3935,3935,50,1
9777,9777,50,1
4965,4965,50,1
7908,7908,50,1
9758,9758,50,1
10847,10847,50,1
9403,9403,50,1
2414,2414,50,1
9746,9746,50,1
2072,2072,50,1
9428,9428,50,1
8289,8289,50,1
6057,6057,50,1
9586,9586,50,1
1605,1605,50,1
8780,8780,50,1
10311,10311,50,1
8860,8860,50,1
2982,2982,50,1
10262,10262,50,1
1525,1525,50,1
1445,1445,50,1
4469,4469,50,1
6004,6004,50,1
5897,5897,50,1
4371,4371,50,1
5645,5645,50,2
10003,10003,50,2
2332,2332,50,2
10694,10694,50,2
3566,3566,50,2
9838,9838,50,2
168,168,50,2
10140,10140,50,2
12495,12495,50,2
2430,2430,50,2
3418,3418,50,2
4451,4451,50,2
6412,6412,50,2
9932,9932,50,2
4770,4770,50,2
13094,13094,50,2
4556,4556,50,2
2876,2876,50,2
6547,6547,50,2
4130,4130,50,2
10357,10357,50,2
3741,3741,50,2
3282,3282,50,2
12609,12609,50,2
4952,4952,50,2
11983,11983,50,2
1198,1198,50,2
7066,7066,50,2
12772,12772,50,2
7526,7526,50,2
12194,12194,50,2
648,648,50,2
12411,12411,50,2
869,869,50,2
1704,1704,50,2
5980,5980,50,2
5460,5460,50,2
2813,2813,50,2
8910,8910,50,2
5159,5159,50,2
8806,8806,50,2
3919,3919,50,2
5268,5268,50,2
1055,1055,50,2
1468,1468,50,2
534,534,50,2
5049,5049,50,2
